Reporting_Semester,Reporting_Year,Reported_Year,Male_Headcount,Female_Headcount
spring,2016,2016,11349,13950
spring,2016,2015,11629,14187
spring,2016,2014,11907,14842
spring,2016,2013,11992,15205
spring,2016,2012,12177,15101
spring,2015,2011,12040,15265
spring,2014,2010,11432,14666
spring,2013,2009,10661,13788
spring,2012,2008,10361,13731
spring,2011,2007,10278,13899
spring,2009,2006,10467,14389
spring,2009,2005,10503,14528
spring,2007,2004,10484,14278
spring,2007,2003,10174,13639
spring,2005,2002,9720,13226
spring,2005,2001,9396,13054
fall,2016,2016,12119,14941
fall,2016,2015,12311,15042
fall,2016,2014,12496,15393
fall,2016,2013,12709,15935
fall,2016,2012,12833,16267
fall,2013,2011,12890,16116
fall,2013,2010,12653,16104
fall,2013,2009,12048,15256
fall,2010,2008,11248,14572
fall,2010,2007,11046,14703
fall,2010,2006,10994,14823
fall,2007,2005,11020,15260
fall,2007,2004,11081,15258
fall,2007,2003,10964,14829
fall,2005,2002,10565,14140
fall,2005,2001,10172,13687
